# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	31502
#@/user_id	sylvan-macbook
a 	啊	c=37 d=1.04009 t=30881
bian xie 	编写	c=12 d=1 t=31380
bian yi 	编译	c=1 d=1 t=16549
biao 	标	c=4 d=1 t=30817
biao 	表	c=3 d=1.98511 t=31395
biao da 	表达	c=5 d=1.90032 t=24417
biao da shi 	表达式	c=1 d=1 t=9163
biao dan 	表单	c=10 d=1.05273 t=31366
biao dian 	标点	c=1 d=0.00170362 t=31502
biao ge 	表格	c=0 d=0.1 t=18988
biao qian 	标签	c=2 d=0.535261 t=31502
biao qing 	表情	c=2 d=1 t=26328
biao shi 	标识	c=4 d=2.73429 t=29919
biao shi 	表示	c=2 d=1 t=23269
biao shu 	表述	c=2 d=1.10076 t=16582
biao ti 	标题	c=3 d=0.355031 t=31502
biao xian 	表现	c=1 d=1 t=25127
biao zhu 	标注	c=1 d=1 t=16117
biao zhun 	标准	c=1 d=1 t=16119
bie 	别	c=9 d=1 t=31492
bie ren 	别人	c=2 d=1 t=24389
bin 	斌	c=19 d=0.344728 t=31502
bin ge 	斌哥	c=6 d=1 t=29905
bin li 	宾利	c=1 d=1 t=18792
bing 	兵	c=1 d=1 t=4024
bing 	并	c=3 d=1 t=24708
bing 	病	c=1 d=1 t=15609
bing fei 	并非	c=1 d=0.132655 t=31502
bing qie 	并且	c=1 d=1 t=13955
bo 	博	c=3 d=0.00532682 t=31502
bo 	播	c=1 d=1 t=29224
bo 	泊	c=1 d=1 t=29443
bo 	波	c=1 d=1 t=8339
bo 	薄	c=3 d=2.63688 t=24909
bo ke 	博客	c=4 d=0.0149862 t=31502
bo zi 	脖子	c=5 d=2.10126 t=18782
bu 	不	c=661 d=7.57187 t=31502
bu 	补	c=12 d=1 t=30940
bu bian 	不便	c=2 d=1 t=13694
bu bu 	步步	c=0 d=0.1 t=23700
bu chong 	补充	c=3 d=0.138069 t=31502
bu cu ou 	不粗偶	c=1 d=0.323033 t=31502
bu cuo 	不错	c=6 d=0.32628 t=31502
bu da 	不大	c=1 d=1 t=20603
bu dao 	不到	c=2 d=1 t=14556
bu ding 	补丁	c=2 d=0.105399 t=31502
bu dong 	不动	c=1 d=1 t=8124
bu dong 	不懂	c=4 d=1 t=28793
bu duan 	不断	c=3 d=2.1589 t=24744
bu dui 	不对	c=0 d=0.1 t=18346
bu fen 	部分	c=23 d=0.000219846 t=31502
bu gai 	不改	c=1 d=1 t=8231
bu gan 	不干	c=1 d=1 t=12091
bu gan 	不敢	c=2 d=1.99501 t=8285
bu gao 	不搞	c=1 d=0.0234005 t=31502
bu gou 	不够	c=1 d=1 t=27920
bu gu 	不顾	c=0 d=0.1 t=14781
bu gu o 	不顾哦	c=1 d=1 t=14782
bu guo 	不过	c=12 d=0.0898153 t=31502
bu hao 	不好	c=0 d=0.1 t=9315
bu hao de 	不好的	c=1 d=1 t=9316
bu he shi 	不合适	c=1 d=0.0194482 t=31502
bu hui 	不会	c=2 d=1 t=11171
bu huo 	捕获	c=8 d=1 t=17161
bu ji 	不急	c=1 d=1 t=10345
bu jian 	不见	c=1 d=1 t=16030
bu ju 	布局	c=6 d=1.97531 t=26858
bu ke neng 	不可能	c=1 d=0.0230521 t=31502
bu liao 	不料	c=2 d=0.044601 t=31502
bu lu 	补录	c=3 d=2.5047 t=13678
bu lun 	不论	c=2 d=1.50409 t=13936
bu nan 	不难	c=0 d=0.1 t=11800
bu neng 	不能	c=4 d=0.00296761 t=31502
bu ping 	不平	c=1 d=1 t=24666
bu qi 	不起	c=1 d=0.1 t=19011
bu quan 	不全	c=0 d=0.1 t=19013
bu ran 	不然	c=1 d=1 t=30230
bu sang chen 	不桑陈	c=1 d=1 t=2391
bu shang 	不上	c=1 d=1 t=12146
bu shi 	不是	c=12 d=0.000267181 t=31502
bu shi ying 	不适应	c=1 d=0.00130703 t=31502
bu shi yong 	不是用	c=1 d=0.0026852 t=31502
bu shu 	部署	c=7 d=1 t=31502
bu suan 	不算	c=1 d=1 t=27004
bu ti 	不提	c=1 d=1 t=25174
bu tong 	不同	c=7 d=1 t=29691
bu xia 	不下	c=1 d=1 t=18748
bu xing 	不行	c=3 d=1.00001 t=23777
bu xu 	不需	c=1 d=1 t=228
bu xu yao 	不需要	c=1 d=1 t=15158
bu yao 	不要	c=13 d=0.895834 t=31502
bu yi 	不宜	c=1 d=1 t=9294
bu yong 	不用	c=10 d=0.533484 t=31502
bu zai 	不再	c=0 d=0.000161245 t=31502
bu zai shi 	不再是	c=2 d=0.00326555 t=31502
bu zhi 	不止	c=1 d=1 t=9270
bu zhi 	不知	c=1 d=0.00344787 t=31502
bu zhi dao 	不知道	c=3 d=0.021429 t=31502
bu zhou 	步骤	c=1 d=1 t=20331
bu zu 	不足	c=1 d=1 t=21840
bu zui chu 	不最初	c=1 d=1 t=12268
ca 	擦	c=2 d=1.39852 t=653
ca n 	擦嗯	c=1 d=1 t=28179
cai 	才	c=29 d=2.07814 t=31502
cai 	猜	c=6 d=1 t=28242
cai 	菜	c=13 d=2.11704 t=30864
cai 	裁	c=1 d=1 t=266
cai 	踩	c=3 d=1.96561 t=28250
cai dan 	菜单	c=8 d=1.08722 t=21345
cai gou 	菜狗	c=1 d=1 t=23596
cai gou 	采购	c=2 d=1 t=21072
cai guang 	才光	c=1 d=1 t=12807
cai hui 	才会	c=1 d=1 t=21043
cai jian 	裁剪	c=1 d=0.479505 t=31502
cai liao 	材料	c=1 d=1 t=8957
cai song 	裁送	c=1 d=1 t=292
cai yong 	采用	c=3 d=0.00463878 t=31502
cai zi 	才子	c=1 d=1 t=23722
can 	参	c=1 d=1 t=1917
can 	惨	c=1 d=1 t=15962
can jian 	参见	c=1 d=1 t=14789
can kao 	参考	c=4 d=0.18189 t=31502
can shu 	参数	c=16 d=1.00051 t=15592
can zhao 	参照	c=2 d=0.0014018 t=31502
cang 	藏	c=1 d=1 t=16026
cang en 	藏嗯	c=3 d=1.52994 t=3650
cang ku 	仓库	c=2 d=0.733447 t=31502
cang o neng 	藏哦能	c=1 d=1 t=21833
cang shuan 	藏栓	c=1 d=1 t=7426
cang shuang chong 	藏双重	c=1 d=1 t=2968
cao 	操	c=1 d=0.332871 t=31502
cao 	槽	c=3 d=1 t=31126
cao 	草	c=2 d=1.99005 t=9439
cao zuo 	操作	c=28 d=1.58444 t=31502
cao zuo fu 	操作符	c=1 d=1 t=25659
ce 	侧	c=1 d=1 t=18456
ce 	测	c=30 d=1.2454 t=21672
ce chuo 	测戳	c=2 d=1.00004 t=25638
ce guo 	测过	c=1 d=0.00227676 t=31502
ce lan 	侧栏	c=1 d=0.923116 t=31502
ce lue 	策略	c=1 d=1 t=24028
ce ping 	测评	c=1 d=1 t=9320
ce shi 	测试	c=84 d=1.21723 t=31379
ce shi huan jing 	测试环境	c=1 d=1 t=22639
ce xia 	测下	c=2 d=1 t=24033
cen 	参	c=1 d=1 t=1913
ceng 	层	c=2 d=1.14734 t=3902
ceng 	曾	c=1 d=0.236928 t=31502
cha 	差	c=9 d=1.01523 t=31069
cha 	查	c=24 d=1.00096 t=30403
cha 	茶	c=2 d=1.91851 t=29310
cha bao 	茶包	c=1 d=1 t=29236
cha bu duo 	差不多	c=4 d=1 t=24915
cha cha 	查查	c=1 d=1 t=15000
cha dao 	查到	c=1 d=1 t=14001
cha dian 	差点	c=1 d=1 t=29571
cha jian 	插件	c=11 d=1.03491 t=25022
cha jin 	差劲	c=1 d=1 t=6622
cha kan 	查看	c=13 d=1.40515 t=30821
cha ru 	插入	c=3 d=0.362402 t=31502
cha xun 	查询	c=20 d=1 t=31318
cha yong 	查用	c=1 d=1 t=24124
chai 	拆	c=3 d=1 t=16761
chai fen 	拆分	c=1 d=0.985112 t=31502
chan 	产	c=3 d=1 t=17254
chan 	禅	c=1 d=1 t=3448
chan 	铲	c=1 d=1 t=15961
chan 	颤	c=1 d=1 t=12051
chan 	馋	c=1 d=1 t=13524
chan chu 	产出	c=1 d=1 t=2715
chan pin 	产品	c=21 d=1.00148 t=28526
chan quan 	产权	c=1 d=1 t=3873
chan sheng 	产生	c=0 d=0.1 t=31322
chang 	唱	c=1 d=1 t=4765
chang 	场	c=3 d=0.153355 t=31502
chang 	常	c=1 d=1 t=21915
chang 	昌	c=2 d=0.00934919 t=31502
chang 	长	c=10 d=1.00004 t=30394
chang an 	长安	c=1 d=1 t=31284
chang chang 	常常	c=1 d=1 t=16650
chang du 	长度	c=2 d=1.99005 t=1961
chang ge 	唱歌	c=2 d=1 t=17343
chang jing 	场景	c=6 d=1.05931 t=29385
chang jiu 	长久	c=1 d=1 t=4417
chang liang 	常量	c=2 d=1 t=14500
chang liang 	敞亮	c=1 d=1 t=45
chang ru 	长入	c=1 d=1 t=17267
chang sha 	长沙	c=11 d=1 t=26754
chang shi 	尝试	c=3 d=1 t=26822
chang shou 	唱首	c=1 d=1 t=4278
chang xian 	尝鲜	c=1 d=1 t=27617
chang xu 	长需	c=2 d=1 t=27500
chang yong 	常用	c=11 d=1.2561 t=23907
chang yuan 	长远	c=1 d=1 t=11970
chao 	弨	c=1 d=1 t=23733
chao 	抄	c=5 d=1 t=29140
chao 	潮	c=1 d=1 t=9653
chao 	超	c=5 d=1 t=26553
chao biao 	超标	c=4 d=2.76312 t=15222
chao chu 	超出	c=1 d=1 t=10579
chao e 	超额	c=0 d=0.1 t=24158
chao guo 	超过	c=1 d=1 t=30574
chao shi 	超时	c=1 d=1 t=11344
chao tian 	超甜	c=1 d=1 t=26558
chao ting 	朝廷	c=1 d=1 t=26557
che 	车	c=20 d=0.394621 t=31502
che di 	彻底	c=1 d=1 t=30929
che hui 	撤回	c=5 d=2.73926 t=22547
che huo 	车祸	c=1 d=1 t=19737
che ji 	车机	c=1 d=1 t=27182
che mo 	车模	c=1 d=1 t=27944
che shi 	车市	c=1 d=1 t=10121
che tao 	车套	c=1 d=1 t=25575
che zhan 	车展	c=3 d=1.49202 t=27342
che zhan 	车站	c=1 d=1 t=18854
che zhi 	撤职	c=4 d=1.0739 t=31113
chen 	辰	c=1 d=1 t=16014
chen 	陈	c=104 d=2.97101 t=30667
chen ai 	尘埃	c=0 d=0.1 t=4886
chen fu 	沉浮	c=2 d=1.00238 t=24891
chen ke 	陈客	c=2 d=1 t=25331
chen ping 	陈平	c=1 d=1 t=22506
chen shu 	陈述	c=0 d=0.1 t=373
chen su feng 	陈素封	c=1 d=0.00831246 t=31502
chen wen 	沉稳	c=1 d=1 t=29450
chen xiao 	陈晓	c=3 d=0.0865022 t=31502
chen xiao feng 	陈晓封	c=1 d=0.869358 t=31502
chen xu 	陈需	c=3 d=1 t=27499
chen zhe 	趁着	c=1 d=1 t=11742
chen zi 	臣子	c=1 d=0.162838 t=31502
chen zong 	陈总	c=1 d=1 t=27199
cheng 	城	c=2 d=1 t=17662
cheng 	成	c=45 d=2.30401 t=31502
cheng 	程	c=6 d=1.00147 t=29349
cheng 	逞	c=1 d=1 t=5765
cheng ben 	成本	c=3 d=1 t=28592
cheng du 	程度	c=1 d=0.00504176 t=31502
cheng en 	成嗯	c=1 d=1 t=26422
cheng gong 	成功	c=10 d=1 t=30311
cheng ji 	成绩	c=2 d=1.07244 t=9550
cheng jiu 	成就	c=2 d=1 t=23215
cheng ke 	乘客	c=5 d=0.0803358 t=31502
cheng nian 	成年	c=1 d=1 t=30000
cheng ren 	成人	c=1 d=1 t=8514
cheng shi 	城市	c=1 d=0.0291588 t=31502
cheng wei 	成为	c=2 d=0.465334 t=31502
cheng wei 	称为	c=1 d=1 t=18913
cheng xu 	程序	c=16 d=2.78404 t=27501
cheng xu yuan 	程序员	c=4 d=1 t=23883
cheng yao 	撑腰	c=1 d=1 t=8052
cheng zhong 	承重	c=1 d=1 t=10743
chi 	吃	c=20 d=1.00579 t=31494
chi 	尺	c=1 d=1 t=30544
chi chi 	迟迟	c=0 d=0.1 t=26423
chi cun 	尺寸	c=9 d=2.48241 t=30915
chi fan 	吃饭	c=5 d=1 t=28827
chi ge 	吃个	c=1 d=1 t=8987
chi hui 	吃会	c=1 d=1 t=23139
chi jiu 	持久	c=2 d=1.83126 t=8701
chi jiu huan 	持久换	c=1 d=1 t=7411
chi kui 	吃亏	c=1 d=1 t=9999
chi le 	吃了	c=0 d=0.1 t=13350
chi le kui 	吃了亏	c=1 d=1 t=13351
chi wen 	吃问	c=1 d=1 t=10508
chi xu 	持续	c=4 d=0.227638 t=31502
chi zhu 	吃住	c=1 d=1 t=11164
chong 	重	c=2 d=1 t=26615
chong dian 	充电	c=1 d=1 t=9245
chong fu 	重复	c=6 d=1 t=23684
chong gou 	重构	c=5 d=2.81964 t=18176
chong ji 	冲击	c=1 d=1 t=5252
chong m 	重呒	c=1 d=1 t=9886
chong ming 	重名	c=1 d=1 t=10566
chong ming ming 	重命名	c=1 d=0.839457 t=31502
chong ou 	冲欧	c=1 d=1 t=15406
chong qi 	重启	c=3 d=1.00001 t=22573
chong shi 	重试	c=1 d=1 t=22029
chong tu 	冲突	c=6 d=1.94649 t=18927
chong xia 	重下	c=1 d=1 t=10546
chong xie 	重写	c=2 d=1.3396 t=16575
chong xin 	重新	c=15 d=0.236747 t=31502
chong zhi 	充值	c=1 d=1 t=22584
chong zhi 	重置	c=1 d=1 t=22585
chong zhuang 	重装	c=3 d=0.00404772 t=31502
chou 	丑	c=1 d=1 t=28201
chou 	抽	c=5 d=1 t=29173
chou 	筹	c=1 d=1 t=28107
chou chan 	抽产	c=1 d=1 t=24707
chou chou 	瞅瞅	c=4 d=1 t=28846
chou feng 	抽风	c=1 d=1 t=21971
chou kong 	抽空	c=1 d=1 t=14770
chou lao 	酬劳	c=1 d=1 t=4518
chou qu 	抽取	c=1 d=1 t=20692
chou xiang 	抽象	c=1 d=1 t=15094
chu 	出	c=39 d=0.732424 t=31502
chu 	初	c=2 d=1 t=14208
chu 	处	c=1 d=1 t=9817
chu 	触	c=3 d=1 t=30803
chu 	除	c=5 d=1 t=29218
chu cuo 	出错	c=7 d=1 t=26174
chu fa 	触发	c=5 d=0.843665 t=31502
chu fei 	除非	c=2 d=1 t=22448
chu gao 	初稿	c=1 d=0.00316691 t=31502
chu jing 	出境	c=1 d=1 t=10818
chu kong 	触控	c=1 d=1 t=30806
chu kong 	除空	c=1 d=1 t=24134
chu lai 	出来	c=15 d=1 t=29016
chu le 	除了	c=5 d=0.0480747 t=31502
chu li 	出力	c=1 d=1 t=2822
chu li 	处理	c=66 d=1.35825 t=31413
chu ma 	出马	c=1 d=1 t=23575
chu men 	出门	c=1 d=1 t=2550
chu mo 	触摸	c=2 d=1.01955 t=24035
chu mo ban 	触摸板	c=6 d=1 t=30737
chu piao 	出票	c=1 d=1 t=8331
chu qu 	出去	c=8 d=1 t=25683
chu ru 	出入	c=0 d=0.1 t=4739
chu ru zheng 	出入正	c=1 d=1 t=4740
chu se 	出色	c=1 d=0.00404611 t=31502
chu shi 	初始	c=3 d=1.0009 t=30594
chu shi 	处事	c=1 d=1 t=24379
chu shi hua 	初始化	c=6 d=1 t=30154
chu shou 	出售	c=1 d=1 t=16003
chu shu 	出书	c=1 d=0.00511796 t=31502
chu tou 	出头	c=1 d=1 t=18057
chu xia 	初夏	c=1 d=1 t=21561
chu xian 	出现	c=9 d=1.02858 t=27769
chu xing 	出行	c=5 d=1 t=17170
chu xue 	出血	c=1 d=1 t=9296
chuan 	串	c=3 d=0.278037 t=31502
chuan 	传	c=13 d=0.0118551 t=31502
chuan 	穿	c=3 d=0.0528657 t=31502
chuan 	船	c=1 d=1 t=27982
chuan cheng 	传承	c=1 d=1 t=30286
chuan da 	传达	c=1 d=0.00975476 t=31502
chuan di 	传递	c=2 d=1.5599 t=7430
chuan lian 	串联	c=1 d=1 t=4161
chuan ru 	传入	c=5 d=1 t=22022
chuan zhe 	穿着	c=1 d=0.0300468 t=31502
chuang 	创	c=1 d=1 t=4987
chuang 	窗	c=1 d=1 t=30229
chuang jian 	创建	c=3 d=1.10927 t=5427
chuang kou 	窗口	c=2 d=1.27217 t=31502
chuang ye 	创业	c=1 d=1 t=28564
chui bei 	捶背	c=1 d=1 t=18537
chun 	春	c=12 d=2.60721 t=29908
chun shu 	纯熟	c=1 d=0.00600598 t=31502
chun yun 	春运	c=1 d=0.0125881 t=31502
chun zai 	春再	c=1 d=1 t=4747
chuo n 	戳嗯	c=1 d=1 t=4587
ci 	次	c=22 d=1.20719 t=25651
ci 	瓷	c=1 d=1 t=28114
ci 	词	c=6 d=0.960907 t=31502
ci chu 	此处	c=1 d=0.00259284 t=31502
ci cu n 	次粗嗯	c=1 d=1 t=577
ci dian 	词典	c=5 d=3.90236 t=15409
ci fu 	次符	c=1 d=1 t=28048
ci ku 	词库	c=2 d=1.61725 t=31502
ci pan 	磁盘	c=12 d=3.0106 t=26544
ci shu 	次数	c=2 d=0.514274 t=31502
ci shu 	此书	c=6 d=0.490847 t=31502
ci yao 	次要	c=1 d=1 t=27720
cong 	从	c=31 d=1.59265 t=29851
cong xiao 	从小	c=1 d=1 t=19070
cu o 	粗哦	c=2 d=1.11765 t=8291
cu xiao 	促销	c=1 d=1 t=13121
cuan 	窜	c=1 d=1 t=13924
cuan de 	窜的	c=1 d=1 t=20227
cui 	崔	c=1 d=1 t=14431
cun 	存	c=1 d=1 t=12812
cun 	寸	c=1 d=1 t=30545
cun 	村	c=1 d=1 t=21236
cun cao bu 	寸草不	c=1 d=1 t=454
cun chu 	存储	c=2 d=0.00427488 t=31502
cun zai 	存在	c=7 d=1 t=29394
cuo 	错	c=41 d=1.93819 t=29602
cuo de 	错的	c=0 d=0.1 t=22380
cuo m 	错呒	c=2 d=1 t=22694
cuo n seng 	错嗯僧	c=1 d=1 t=16605
cuo n tuan 	错嗯团	c=1 d=1 t=26467
cuo nong tian 	错农田	c=1 d=1 t=2939
cuo nue ruo 	错虐若	c=1 d=1 t=22288
cuo ruo 	错若	c=1 d=1 t=26899
cuo shuan 	错栓	c=1 d=0.99005 t=31502
cuo wu 	错误	c=63 d=2.75818 t=31412
da 	哒	c=10 d=1 t=28217
da 	大	c=28 d=0.431711 t=31502
da 	打	c=58 d=2.3183 t=31502
da 	搭	c=7 d=1 t=28213
da 	达	c=1 d=0.341298 t=31502
da an 	答案	c=1 d=1 t=6901
da bao 	打包	c=48 d=1.00042 t=28205
da bu fen 	大部分	c=1 d=1 t=8555
da bu kai 	打不开	c=1 d=1 t=31228
da cheng 	达成	c=2 d=1 t=23214
da cuo 	打错	c=1 d=1 t=23373
da da 	大大	c=0 d=0.1 t=16491
