# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	816
#@/user_id	sylvan-macbook
a 	啊	c=3 d=1.15264 t=816
tou 	投	c=3 d=1.17084 t=816
tou 	頭	c=1 d=0.128735 t=816
tu 	吐	c=1 d=0.337902 t=816
tu 	圖	c=2 d=0.32049 t=816
tu tun tun tu tu 	圖吞吞吐吐	c=1 d=0.167797 t=816
tui gai 	退改	c=1 d=0.683861 t=816
tui jian 	推薦	c=3 d=0.890495 t=816
tui piao 	退票	c=1 d=0.744532 t=816
tun tun tu tu 	吞吞吐吐	c=0 d=0.016696 t=816
wan 	完	c=4 d=0.895691 t=816
wan cheng 	完成	c=1 d=0.15259 t=816
wan er 	玩兒	c=0 d=0.0108609 t=816
wan yi 	玩意	c=1 d=0.386741 t=816
wang fan 	往返	c=2 d=0.951308 t=816
wei 	未	c=1 d=0.353455 t=816
wei 	爲	c=1 d=0.433874 t=816
wei chi 	維持	c=1 d=0.786628 t=816
wei shen me 	爲什麼	c=1 d=1 t=801
wen 	汶	c=2 d=0.926038 t=816
wen dang 	文檔	c=2 d=0.308157 t=816
wen ti 	問題	c=2 d=0.965605 t=816
wo 	喔	c=1 d=0.798516 t=816
wo 	我	c=23 d=9.00538 t=816
wo sou 	我搜	c=1 d=0.486752 t=816
wo xian zai 	我現在	c=1 d=0.194952 t=816
wo you dian 	我有點	c=1 d=1 t=799
wu di 	無敵	c=1 d=1 t=772
xi tong 	系統	c=2 d=1.48171 t=816
xia 	下	c=5 d=1.08914 t=816
xia qu 	下去	c=1 d=0.778801 t=816
xia wu 	下午	c=3 d=0.664575 t=816
xia zai 	下載	c=1 d=0.970446 t=816
xian 	先	c=4 d=0.877728 t=816
xian shi 	顯示	c=2 d=0.56442 t=816
xian zai 	現在	c=2 d=0.900185 t=816
xiang 	想	c=1 d=0.774916 t=816
xiang yao 	想要	c=1 d=0.425283 t=816
xiao 	小	c=8 d=3.26409 t=816
xiao 	曉	c=2 d=0.964727 t=816
xiao fei 	消費	c=5 d=2.69661 t=816
xiao lang hao 	小狼毫	c=2 d=0.567882 t=816
xiao lao di 	小老弟	c=3 d=1.30021 t=816
xiao shi 	小時	c=1 d=0.532592 t=816
xiao xu qiu 	小需求	c=3 d=0.700763 t=816
xie 	些	c=1 d=0.436049 t=816
xin 	新	c=1 d=0.214381 t=816
xin xi 	信息	c=5 d=1.5869 t=816
xing 	行	c=1 d=0.752014 t=816
xing cheng 	行程	c=1 d=0.1764 t=816
xing ji 	星級	c=1 d=1 t=775
xiu fu 	修復	c=1 d=0.238115 t=816
xiu gai 	修改	c=3 d=1.2004 t=816
xu qiu 	需求	c=2 d=1.00701 t=816
yan shou 	驗收	c=1 d=0.951229 t=816
yan wen zi 	顏文字	c=1 d=1 t=816
yang 	樣	c=1 d=0.29523 t=816
yao 	堯	c=2 d=0.921419 t=816
yao 	要	c=6 d=1.28428 t=816
ye 	也	c=2 d=0.571209 t=816
ye shi 	也是	c=1 d=0.501576 t=816
yi 	義	c=1 d=0.591555 t=816
yi cheng 	一程	c=1 d=0.227638 t=816
yi dian 	一點	c=2 d=1.31959 t=816
yi ge 	一個	c=3 d=1.43158 t=816
yi ge shu ru 	一個輸入	c=1 d=0.293758 t=816
yi hui 	一會	c=2 d=0.34669 t=816
yi jia 	一家	c=1 d=0.618783 t=816
yi jian 	一鍵	c=1 d=0.535971 t=816
yi jian fu zhi 	一鍵複製	c=1 d=0.166127 t=816
yi jing 	已經	c=3 d=1.1194 t=816
yi mao qian 	一毛錢	c=1 d=1 t=789
yi qi 	一起	c=1 d=0.172907 t=816
yi tian tian 	一天天	c=1 d=0.298197 t=816
yi tuo 	依託	c=1 d=0.506617 t=816
yi yang 	一樣	c=1 d=0.790571 t=816
yin si 	隱私	c=1 d=0.995012 t=816
yin wei 	因爲	c=1 d=0.343009 t=816
ying cun 	英寸	c=1 d=0.360595 t=816
yong 	用	c=5 d=1.32156 t=816
yong fa 	用法	c=1 d=0.56836 t=816
yong zhe 	用着	c=1 d=0.20089 t=816
you 	有	c=7 d=2.21545 t=816
you bian 	右邊	c=1 d=0.644036 t=816
you dian 	有點	c=4 d=3.0627 t=816
you mei you 	有沒有	c=1 d=0.694197 t=816
you shen me 	有什麼	c=0 d=0.1 t=801
you xiu 	優秀	c=4 d=2.81354 t=816
yu ji 	預計	c=1 d=0.222017 t=816
yuan bu yuan 	遠不遠	c=1 d=0.748264 t=816
yuan xing 	原型	c=1 d=0.119433 t=816
yue liang 	月亮	c=1 d=0.882497 t=816
yun 	昀	c=1 d=0.923116 t=816
zai 	再	c=1 d=0.637628 t=816
zai 	在	c=1 d=0.120633 t=816
zai ye 	再也	c=1 d=0.588605 t=816
zen me 	怎麼	c=3 d=0.59505 t=816
zen me kan 	怎麼看	c=1 d=0.198891 t=816
zhan tie 	粘貼	c=1 d=0.151829 t=816
zhe 	這	c=6 d=2.57387 t=816
zhe ge 	這個	c=6 d=1.81777 t=816
zhe ge you shen me 	這個有什麼	c=1 d=1 t=802
zhe liang tian 	這兩天	c=2 d=0.277578 t=816
zhe me 	這麼	c=2 d=1.20505 t=816
zhe yang 	這樣	c=4 d=2.50014 t=816
zhen 	真	c=1 d=0.83527 t=816
zheng bao 	蒸報	c=1 d=1 t=776
zheng qu 	爭取	c=1 d=0.142274 t=816
zheng ti 	整體	c=1 d=1 t=777
zhi 	之	c=0 d=0.0501576 t=816
zhi 	只	c=2 d=0.619365 t=816
zhi dao 	知道	c=1 d=0.159614 t=816
zhi jie 	直接	c=1 d=0.554327 t=816
zhi qian 	之前	c=1 d=0.609571 t=816
zhi you 	只有	c=4 d=1.36108 t=816
zhong guo 	中國	c=0 d=0.0108609 t=816
zhong guo wan er 	中國玩兒	c=1 d=0.109154 t=816
zhong wen 	中文	c=1 d=0.110803 t=816
zhong ying wen 	中英文	c=2 d=0.225026 t=816
zhou de shou fu 	州的首府	c=0 d=0.0955997 t=816
zhou de shou fu ka la 	州的首府卡拉	c=1 d=0.960789 t=816
zi 	字	c=2 d=0.279431 t=816
zi dian 	字典	c=1 d=0.319819 t=816
zi ding yi 	自定義	c=3 d=2.69204 t=816
zi ti 	字體	c=2 d=1.64008 t=816
zui 	最	c=1 d=0.421052 t=816
zui zhun 	最準	c=1 d=0.814647 t=816
zuo 	做	c=3 d=0.433874 t=816
zuo tian 	昨天	c=5 d=0.989468 t=816
